US | 1553 - Golf | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1553/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E50E079D0>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1554 - Cricket | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1554/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E50E06990>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1555 - Wrestling | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1555/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E50E07D90>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1556 - Tennis | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1556/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E50E07B10>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1557 - Volleyball | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1557/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E50E06FD0>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1558 - Swimming | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1558/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E50E04CD0>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1559 - Wilderness | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1559/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E50E06D50>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1560 - Fantasy Sports | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1560/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E50E07390>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1561 - TV Reviews | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1561/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E50E06350>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1562 - After Shows | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1562/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E50E06710>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1563 - Film Reviews | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1563/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E51DFC2D0>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1564 - Film History | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1564/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E51DFC690>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
US | 1565 - Film Interviews | HTTPSConnectionPool(host='itunes.apple.com', port=443): Max retries exceeded with url: /us/rss/toppodcasts/limit=200/genre=1565/json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000017E51DFCA50>: Failed to resolve 'itunes.apple.com' ([Errno 11001] getaddrinfo failed)"))
